Group,Crop Name,Variety Name,Pack Shots,English,Marathi,Hindi,Remark
Field Crop,Wheat,Wheat Gold-21,,"Salient features of wheat Gold-21
• Duration of the Crop : 105 to 110 days
• Plant Height : 90 to 100 cm
• Number of Tillers : 12 to 15
• Spike length : 12-13 cm
• Number of grains/spike : 40-50
• Shape and color of grain : Oblong, bold and amber color
• Resistivity against pest/disease: Tolerant to rust disease
• Special Features of wheat : 1) More tillers 2) Grains are bold & Shiny 3) Fetch considerable market Price, Roti Soft and tasty 4) Tolerant to rust diseases.","संशोधित गहू सुधारित वाणाची प्रमुख वैशिष्टे (गोल्ड-२१)
 • पिकाचा कालावधी : १०५ ते ११० दिवस
 • फुटव्यांची संख्या : १२ ते १५
 • ताटाची उंची : ९० ते १०० सें.मी.
 • ओंबीची लांबी : १२ ते १३ सें.मी.
 • ओंबीतील दाण्याची संख्या : ४० ते ५०
 • दाण्याचा रंग आणि आकार : लांबट व मोठा, सोनेरी अंबर
 • किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील
 खास वैशिष्टे : १) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...","संशोधित गेहूँ किस्म की प्रमुख विशेषताएँ (गोल्ड-२१)
 • फसल की अवधि : १०५ से ११० दिन
 • कल्ले/फुटवो की संख्या: १२ से १५
 • बाली में दानो की संख्या : ४० से ५०
 • पौधों की ऊँचाई : ९० से १०० सें.मी.
 • बाली की लंबाई : १२ से १३ सें.मी.
 • दाने का रंग व आकार : सुनहरा गेहूँवा, लम्बा व बड़ा
 • कीट व रोग के प्रति सहनशील : तांबेरा रोग के प्रति सहनशील
 प्रमुख विशेषताएँ : १) अधिक कल्ले / फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Wheat,Wheat Gold-23,,"Salient features of wheat Gold-23
• Duration of the Crop : 105 to 110 days
• Number of Tillers : 14 to 16
• Plant Height : 90 to 105 cm
• Spike length : 13 to 14 cm
• Number of grains/spike : 50 to 55
• Shape and color of grain : Oblong and Shing amber color
• Resistivity against pest/disease:Tolerant to rust disease
Special Features of wheat : 1) More tillers 2) Grains are bold & Shiny 3)Fetch considerable market","संशोधित गहू सुधारित वाणाची प्रमुख वैशिष्टे (गोल्ड-२३)
 • पिकाचा कालावधी : १०५ ते ११० दिवस
 • ताटाची उंची : ९० ते १०५ सें.मी.
 • ओंबीची लांबी : १३ ते १४ सें.मी.
 • फुटव्यांची संख्या : १४ ते १६
 • ओंबीतील दाण्याची संख्या : ५० ते ५५ 
 • दाण्याचा रंग आणि आकार : चमकदार सोनेरी अंबर, मोठा व लांबट
 • किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील
 खास वैशिष्टे : १) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...","संशोधित गेहूँ किस्म की प्रमुख विशेषताएँ (गोल्ड-२३)
 • फसल की अवधि : १०५ से ११० दिन
 • पौधों की ऊँचाई : ९० से १०५ सें.मी.
 • बाली की लंबाई : १३ से १४ सें.मी.
 • दाने का रंग व आकार : चमकदार सुनहरा गेहूँवा, बड़ा व लम्बा
 • कल्ले/फुटवो की संख्या: १४ से १६
 • बाली में दानो की संख्या : ५० से ५५
 • कीट व रोग के प्रति सहनशील : तांबेरा रोग के प्रति सहनशील
 प्रमुख विशेषताएँ : १) अधिक कल्ले / फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Wheat,Wheat Gold-71,,"Salient features of wheat Gold-71
• Duration of the Crop : 100 to 105 days
• Plant Height : 95 to 105 cm
• Number of Tillers : 16 to 18
• Spike length : 16 to 18 cm
• Number of grains/spike : 50 to 55
• Shape and color of grain : Oblong and amber color
• Resistivity against pest/disease:Tolerant to rust disease
• Special Features of wheat : 1)More tillers 2) Grains are bold & Shiny 3) Fetch considerable market Price, Roti Soft and tasty 4) Tolerant to rust diseases.

","संशोधित गहू सुधारित वाणाची प्रमुख वैशिष्टे (गोल्ड-७१)
 • पिकाचा कालावधी : १०० ते १०५ दिवस
 • फुटव्यांची संख्या : १६ ते १८
 • ओंबीतील दाण्याची संख्या : ५० ते ५५
 • ताटाची उंची : ९५ ते १०५ सें.मी.
 • ओंबीची लांबी : १६ ते १८ सें.मी.
 • दाण्याचा रंग आणि आकार : मोठा व लांबट, सोनेरी अंबर
 • किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील
 खास वैशिष्टे : १) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...","संशोधित गेहूँ किस्म की प्रमुख विशेषताएँ (गोल्ड-७१)
 • फसल की अवधि : १०० से १०५ दिन
 • कल्ले/फुटवो की संख्या : १६ से १८
 • बाली में दानो की संख्या : ५० से ५५
 • पौधों की ऊँचाई : ९५ से १०५ सें.मी.
 • बाली की लंबाई : १६ से १८ सें.मी.
 • दाने का रंग व आकार : बड़ा व लम्बा, सुनहरा गेहूँवा
 • कीट व रोग के प्रति सहनशील : तांबेरा रोग के प्रति सहनशील
 प्रमुख विशेषताएँ : १) अधिक कल्ले / फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Wheat,Wheat Gold-51,,"Salient features of wheat GOLD-51

• Duration of the Crop: 135 to 140 days
• Plant Height: 90 to 100 cm
• Number of Tillers: 12 to 15 
• Spike length: 12-13 cm
• Number of grains/spike: 40-50
• Shape and colour of grain: Oblong, bold, and amber colour
• Resistivity against pest/disease: Tolerant to rust disease

Special Features of Wheat
1) More tillers 2) Grains are bold & Shiny 3) Fetch considerable market
Price, Roti Soft and tasty 4) Tolerant to rust diseases.","संशोधित गहू गोल्ड-५१
• पिकाचा कालावधी : १३५ ते १४० दिवस 
• ताटाची उंची : ९० ते १०० सें.मी.
• फुटव्यांची संख्या : १२ ते १५ 
• ओंबीची लांबी : १२ ते १३ सें.मी.
• ओंबीतील दाण्याची संख्या : ४० ते ५०
• दाण्याचा रंग आणि आकार : लांबट व मोठा, सोनेरी अंबर
• किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील

खास वैशिष्टे
१) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...","संशोधित गेहूँ गोल्ड-५१

• फसल की अवधि: १३५ से १४० दिन
• पौधों की ऊँचाई: ९० से १०० सें.मी.
• कल्ले/फुटवो की संख्या: १२ से १५
• बाली की लंबाई: १२ से १३ सें.मी.
• बाली में दानो की संख्या : ४० से ५०
• दाने का रंग व आकार : सुनहरा गेहूँवा, लम्बा व बड़ा
• कीट व रोग के प्रति सहनशील : तांबेरा रोग के प्रति सहनशील

प्रमुख विशेषताएँ : १) अधिक कल्ले/फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Wheat,Wheat Gold-28,,"Salient features of wheat Gold-28

• Duration of the Crop: 100 to 105 days 
• Plant Height: 90 to 105 cm
• Number of Tillers: 14 to 16 • Spike length: 13 to 14 cm
• Number of grains/spike: 50 to 55
• Shape and colour of grain: Oblong and Shing amber colour
• Resistivity against pest/disease: Tolerant to rust disease

Special Features of Wheat
 1) More tillers 2) Grains are bold & Shiny 3) Fetch considerable market","संशोधित गहू गोल्ड-२८

• पिकाचा कालावधी : १०० ते १०५ दिवस 
• ताटाची उंची : ९० ते १०५ सें.मी.
• फुटव्यांची संख्या : १४ ते १६ 
• ओंबीची लांबी : १३ ते १४ सें.मी.
• ओंबीतील दाण्याची संख्या : ५० ते ५५ 
• दाण्याचा रंग आणि आकार : चमकदार सोनेरी अंबर, मोठा व लांबट
• किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील

खास वैशिष्टे 
१) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...","संशोधित गेहूँ गोल्ड-२८

• फसल की अवधि: १०० से १०५ दिन
• कल्ले/फुटवो की संख्या: १४ से १६
• पौधों की ऊँचाई : ९० से १०५ सें.मी.
• बाली की लंबाई: १३ से १४ सें.मी.
• बाली में दानो की संख्या : ५० से ५५ 
• दाने का रंग व आकार : चमकदार सुनहरा गेहूँवा, बड़ा व लम्बा
• कीट व रोग के प्रति सहनशील : तांबेरा रोग के प्रति सहनशील

प्रमुख विशेषताएँ 
१) अधिक कल्ले / फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Wheat,Wheat Gold-29,,"Salient features of wheat GOLD-29

• Duration of the Crop: 120 to 125 days
• Number of Tillers: 12 to 15
• Number of grains/spike: 40-50
• Plant Height: 90 to 100 cm
• Spike length: 12-13 cm
• Shape and colour of grain: Oblong, bold, and amber colour
• Resistivity against pest/disease: Tolerant to rust disease

Special Features of Wheat
1) More tillers 2) Grains are bold & Shiny 3) Fetch considerable market Price, Roti Soft and tasty 4) Tolerant to rust diseases.
","संशोधित गहू गोल्ड-२९

• पिकाचा कालावधी : १२० ते १२५ दिवस
• ताटाची उंची : ९० ते १०० सें.मी.
• फुटव्यांची संख्या : १२ ते १५ 
• ओंबीची लांबी : १२ ते १३ सें.मी.
• ओंबीतील दाण्याची संख्या : ४० ते ५० 
• दाण्याचा रंग आणि आकार : लांबट व मोठा, सोनेरी अंबर
• किडी व रोगास सहनशीलता : तांबेरा रोगास सहनशील

खास वैशिष्टे

१) अधिक फुटवे २) दाणे मोठे व चमकदार ३) उत्तम बाजार भाव, पोळी नरम आणि खाण्यास चवदार ४) तांबेरा रोगास सहनशील...
","संशोधित गेहूँ गोल्ड-२९

• फसल की अवधि : १२० से १२५ दिन 
• पौधों की ऊँचाई : ९० से १०० सें.मी.
• कल्ले/फुटवो की संख्या : १२ से १५ 
• बाली की लंबाई : १२ से १३ सें.मी.
• बाली में दानो की संख्या : ४० से ५० 
• दाने का रंग व आकार : सुनहरा गेहूँवा, लम्बा व बड़ा
• कीट व रोग के प्रति सहनशील तांबेरा रोग के प्रति सहनशील

प्रमुख विशेषताएँ 

१) अधिक कल्ले / फुटवे २) चमकदार व बड़े दाने ३) रोटी नरम व स्वादिष्ट एवं अधिक बाजार भाव ४) तांबेरा रोग के प्रति सहनशील",
Field Crop,Udid,Gold-22,,"Black gram Gold-22

• Duration of the Crop: 70 to 75 days 
• Plant height: 40 to 45 cm
• Number of seeds/pod: 4-5
• Pod length: 4-5 cm
• Seed colour & size: Seeds are bold with purplish black colour

Special Features of Black gram Gold-22

Tolerance to powdery mildew, seeds are bold with Purplish black colour, vigorous growth at seedling stage.","उडीद गोल्ड-२२ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ७० ते ७५ दिवस
• झाडाची उंची : ४० ते ४५ से.मी.
• दाण्याची संख्या / शेंग : ४ ते ५/शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• शेंगाची लांबी : ४ ते ५ सेंमी.
• दाण्याचा रंग व आकार : काळा, लांबट गोल व टपोरे दाणे.

प्रमुख वैशिष्टये
भुरी रोगास सहनशील, टपोरे काळे दाणे, रोपावस्थेत जोमदार वाढ.","उडद गोल्ड-२२ किस्म प्रमुख विशेषताएँ

• फसल की अवधि : ७० से ७५ दिन
• पौधे की ऊँचाई : ४० से ४५ सें.मी.
• दानों की संख्या : ४ से ५/फल्ली (फसल व्यवस्थापनानुसार कम या ज्यादा)
• फल्ली की लम्बाई : ४ से ५ सें.मी.
• दानों का रंग व आकार : काला, बड़ा लम्बा गोल

प्रमुख विशेषताएँ
भभुतीया रोग के सहनशील, बड़े काले दाने",
Field Crop,Udid,Tau-1,,"Salient features of wheat Gold-28

• Duration of the Crop: 100 to 105 days 
• Plant Height: 90 to 105 cm
• Number of Tillers: 14 to 16 
• Spike length: 13 to 14 cm
• Number of grains/spike: 50 to 55
• Shape and color of grain: Oblong and Shing amber color
• Resistivity against pest/disease: Tolerant to rust disease

Special Features of Wheat
1) More tillers 2) Grains are bold & Shiny 3) Fetch considerable market","उडीद टि.ऐ.यु.- १ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ७० ते ७५ दिवस 
• झाडाची उंची : ४० ते ४५ से.मी.
• दाणाची संख्या / शेंग : ४ ते ५/ शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• शेंगाची लांबी : ४ ते ५ सेंमी.
• दाण्याचा रंग व आकार : काळा, लांबट गोल व टपोरे दाणे.

प्रमुख वैशिष्ट्ये
भुरी रोगास सहनशील, टपोरे काळे दाणे, शेंगावर तुरळक केस, रोपावस्थेत जोमदार वाढ.","उड़द टि.ऐ.यु-१ किस्म प्रमुख विशेषताएँ

• फसल की अवधि : ७० से ७५ दिन
• पौधे की ऊँचाई : ४० से ४५ सें.मी.
• दानों की संख्या : ४ से ५/फली (फसल व्यवस्थापनानुसर कम या ज्यादा)
• फल्ली की लम्बाई : ४ से ५ सें.मी.
• दानों का रंग व आकार : काला, बड़ा लम्बा गोल

प्रमुख विशेषताएँ
भभुतीया रोग के सहनशील, बड़े काले दाने, फली पर कम रोयें",
Field Crop,Moong,Gold-9 Shaneshwar,,"Salient Features of Greengram (Moong) Gold-9 (Shaneshwar)

• Duration of the Crop: 60 to 65 days
• Number of seeds/pod: 13 to 15 Seeds
• Plant height : 50 to 55 cm
• Pod length : 12-14 cm
• Average No of Pods/Plant: 35 - 40 ( Borne in Cluster )
• Seed colour & size: Seeds are bold with shiny green in colour

Features : Tolerance to powdery mildew, seeds are shiny green in colour, vigorous growth at
the seedling stage.","मुग गोल्ड-९ (शनेश्वर) वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी: ६० ते ६५ दिवस
• झाडाची उंची : ५० ते ५५ से.मी.
• शेंगाची लांबी : १२ ते १४ सेंमी.
• दाणाची संख्या / शेंग: १३ ते १५/ शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• सरासरी शेंगा / झाड: ३५ ते ४० शेंगा (गुच्छयामध्ये लागतात)
• दाण्याचा रंग व आकार: चमकदार हिरवा, लांबट गोल व टपोरे दाणे.

प्रमुख वैशिष्ट्ये : भुरी रोगास सहनशील, टपोरे चमकदार हिरवे दाणे, रोपावस्थेत जोमदार वाढ.","मुँग गोल्ड-९ (शनेश्वर) किस्म प्रमुख विशेषताएँ

• फसल की अवधि: ६० से ६५ दिन
• दानों की संख्या: १३ से १५/फली (फसल व्यवस्थापनानुसर कम या ज्यादा)
• पौधे की ऊँचाई : ५० से ५५ सें.मी.
• फल्ली की लम्बाई: १२ से १४ सें.मी. औसत फल्लीायों की संख्या / पौध : ३५ से ४० फल्लीयाँ (गुच्छेदार)
• दानों का रंग व आकार: चमकीला हरा, बड़ा लम्बा गोल

प्रमुख विशेषताएँ : भभुतीया रोग के सहनशील, बड़े चमकीले व हरे दाने।",
Field Crop,Moong,Gold-39,,"Salient Features of Greengram (Moong) Gold-39

• Duration of the Crop: 65 to 70 days
• Number of seeds/pod: 9 to 10 Seeds
• Plant height: 40 to 45 cm
• Pod length: 8-10 cm
• Average No of Pods/Plant: 55 - 60 ( Borne in Cluster )
• Seed colour & size: Seeds are Small and shiny green in colour

Features: Tolerance to Yellow Vein Mosaic, seeds are shiny green in colour, vigorous
growth at the seedling stage.","मुग गोल्ड-३९ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी: ६५ ते ७० दिवस
• झाडाची उंची : ४० ते ४५ से.मी.
• शेंगाची लांबी : ८ ते १० सेंमी.
• दाणाची संख्या / शेंग: ९ ते १०/ शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• सरासरी शेंगा / झाड: ५५ ते ६० शेंगा (गुच्छयामध्ये लागतात)
• दाण्याचा रंग व आकार: चमकदार हिरवा, लांबट गोल व लहान आकाराचे दाणे.

प्रमुख वैशिष्ट्ये : केवडा रोगास सहनशील, लहान चमकदार हिरवे दाणे, रोपावस्थेत जोमदार वाढ.","मुँग गोल्ड-३९ किस्म प्रमुख विशेषताएँ

• फसल की अवधि: ६५ से ७० दिन
• पौधे की ऊँचाई : ४० से ४५ सें.मी.
• दानों की संख्या: ९ से १०/फली (फसल व्यवस्थापनानुसर कम या ज्यादा)
• फल्ली की लम्बाई: ८ से १० सें.मी. औसत फल्लीायों की संख्या / पौध : ५५ से ६० फल्लीयाँ (गुच्छेदार)
• दानों का रंग व आकार: चमकीला हरा, छोटा लम्बा गोल दाना

प्रमुख विशेषताएँ : केवड़ा रोग के प्रति सहनशील, छोटे व चमकदार हरे दाने, तथा अंकुर अवस्था में जोशीली वृद्धि।",
Field Crop,Moong,Gold-50 Vishnu,,"Salient Features of Green gram (Moong) Gold -50 (Vishnu)

• Duration of the Crop: 70 to 75 days 
• Plant height: 25 to 35 cm
• Number of seeds/pod: 9-10 
• Pod length: 6-8 cm
• Average No of Pods/Plant: 25-30 (Borne in Cluster)
• Seed colour & size: Seeds are bold and shiny green in colour

Special Features: Tolerance to powdery mildew, seeds are shiny green in colour, vigorous growth at the seedling stage.","मुग गोल्ड-५० (विष्णू) वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ७० ते ७५ दिवस 
• झाडाची उंची २५ ते ३५ से.मी.
• दाणाची संख्या / शेंग : ९ ते १०/ शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• शेंगाची लांबी : ६ ते ८ सेंमी.
• सरासरी शेंगा/झाड : २५ ते ३० शेंगा (गुच्छयामध्ये लागतात)
• दाण्याचा रंग व आकार : चमकदार हिरवा, लांबट गोल व टपोरे दाणे.

प्रमुख वैशिष्ट्ये : भुरी रोगास सहनशील, टपोरे चमकदार हिरवे दाणे, रोपावस्थेत जोमदार वाढ.","मूंग गोल्ड-५० (विष्णु) किस्म प्रमुख विशेषताएँ

• फसल की अवधि : ७० से ७५ दिन 
• पौधे की ऊँचाई : २५ से ३५ सें.मी.
• दानों की संख्या : ९ से १०/फली (फसल व्यवस्थापनानुसर कम या ज्यादा)
• फल्ली की लम्बाई : ६ से ८ सें.मी. 
• औसत फल्लीीयों की संख्या / पौध २५ से ३० फल्लीयाँ (गुच्छेदार)
• दानों का रंग व आकार : चमकीला हरा, बड़ा लम्बा गोल

प्रमुख विशेषताएँ : भभूतीया रोग के सहनशील, बड़े चमकीले व हरे दाने",
Field Crop,Moong,Gold-60,,"Salient Features of Greengram (Moong) Gold Shaneshwar (60)

• Duration of the Crop: 60 to 65 days 
• Plant height: 25 to 35 cm
• Number of seeds/pod: 9-10 
• Pod length: 6-8 cm
• Average No of Pods/Plant: 25 - 30 (Borne in Cluster)
• Seed colour & size: Seeds are bold and shiny green in colour

Special Features: Tolerance to powdery mildew, seeds are shiny green in colour, vigorous growth at the seedling stage.","मुग गोल्ड शनेश्वर (६०) वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ६० ते ६५ दिवस 
• झाडाची उंची : २५ ते ३५ से.मी.
• दाणाची संख्या / शेंग : ९ ते १०/ शेंग (पीक व्यवस्थापना अनुसार कमी जास्त)
• शेंगाची लांबी : ६ ते ८ सेंमी. 
• सरासरी शेंगा / झाड : २५ ते ३० शेंगा (गुच्छयामध्ये लागतात)
• दाण्याचा रंग व आकार : चमकदार हिरवा, लांबट गोल व टपोरे दाणे.

प्रमुख वैशिष्ट्ये : भुरी रोगास सहनशील, टपोरे चमकदार हिरवे दाणे, रोपावस्थेत जोमदार वाढ","मुँग गोल्ड शनेश्वर (६०) किस्म प्रमुख विशेषताएँ

• फसल की अवधि : ६० से ६५ दिन
• पौधे की ऊँचाई : २५ से ३५ सें.मी.
• दानों की संख्या : ९ से १०/फली (फसल व्यवस्थापनानुसर कम या ज्यादा)
• फल्ली की लम्बाई : ६ से ८ सें.मी. 
• औसत फल्लीायों की संख्या / पौध : २५ से ३० फल्लीयाँ (गुच्छेदार)
• दानों का रंग व आकार : चमकीला हरा, बड़ा लम्बा गोल

प्रमुख विशेषताएँ : भभुतीया रोग के सहनशील, बड़े चमकीले व हरे दाने",
Field Crop,Mustard,Gold-358,,"Salient Features of Mustard Gold-358

• Duration of the Crop : 110 to 120 days        
• Plant height : 110 to 150 cm
• Seed colour : Blackish and maroon coloured seeds
• Seed Size : Medium round size seeds
• Seed per pod : 15 to 20 seeds
• Disease & Pests registivity : Tolerance to powdery mildew.

Special Features of Mustard : Tolerant to pod shattering and powdery mildew","मोहरी गोल्ड-३५८ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ११० ते १२० दिवस 
• झाडाची उंची : ११० ते १५० से.मी.
• दाण्याचा रंग व आकार : काळसर जांभळा, मध्यम गोलाकार
• शेंगातील दाण्याची संख्या : १५-२० 
• रोग प्रतिकारक क्षमता : भुरी रोगास सहनशील

प्रमुख वैशिष्ट्ये : पिक तयार झाल्यानंतरही शेंगा फुटत नाहीत तसेच भुरी रोगास सहनशील.","सरसों गोल्ड-३५८ किस्म की प्रमुख विशेषताएँ

• फसल की अवधि : ११० से १२० दिन
• पौधे की ऊँचाई : ११० से १५० सें.मी.
• फलियो में दानो की संख्या : १५ से २०        
• ५०% फुल आने की अवधि : ४५ से ५० दिन
• दानों का रंग व आकार : काला जामूनी, मध्यम गोलाकार
• रोग और कीट प्रतिरोधकता : पावडरी मिलड्यु व झुलसा के प्रति सहनशील

प्रमुख विशेषताएँ : फसल पक्कर तैयार होने के बाद भी फलियाँ चटक्ती नही है।",
Field Crop,Mustard,Gold-359,,"Salient Features of Mustard Gold-359

• Duration of the Crop : 110 to 120 days        
• Plant height : 110 to 150 cm
• Seed colour : Blackish and maroon coloured seeds
• Seed Size : Medium round size seeds        
• Seed per pod : 13 to 16 seeds
• Disease & Pests registivity : Tolerance to powdery mildew.

Special Features of Mustard : Tolerant to pod shattering and powdery mildew","मोहरी गोल्ड-३५९ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ११० ते १२० दिवस 
• झाडाची उंची : ११० ते १५० से.मी.
• दाण्याचा रंग व आकार : काळसर जांभळा, मध्यम गोलाकार
• शेंगातील दाण्याची संख्या : १३-१६ 
• रोग प्रतिकारक क्षमता : भुरी रोगास सहनशील

प्रमुख वैशिष्ट्ये : पिक तयार झाल्यानंतरही शेंगा फुटत नाहीत तसेच भुरी रोगास सहनशील.","सरसों गोल्ड-३५९ किस्म की प्रमुख विशेषताएँ

• फसल की अवधि : ११० से १२० दिन
• दानों का रंग व आकार : काला जामूनी, मध्यम गोलाकार
• रोग और कीट प्रतिरोधकता : पावडरी मिलड्यु व झुलसा के प्रति सहनशील
• पौधे की ऊँचाई : ११० से १५० सें.मी.
• फलियो में दानो की संख्या : १३ से १६

प्रमुख विशेषताएँ : फसल पक्कर तैयार होने के बाद भी फलियाँ चटक्ती नही है।",
Field Crop,Sesame (Teel),"Gold-801
Sankranti",,"Salient Features of Sesamum Gold-801

• Duration of Crop: 90 to 95 days
• Plant height: 75 to 90 cm
• Number of Capsules/Plant: 200 to 250 (Depends upon Management Practices)
• Seed Colour & Size: Seeds are medium White & Bold seed.
• Seed Oil percentage: 48% to 50%
• Pest & Disease tolerance: Tolerance to leaf-eating caterpillar & phyllody

Special Features: Plant having 2-3 branches with many capsules","संशोधित तीळ गोल्ड-८०१ वाणाची प्रमुख वैशिष्टे

• पिकाचा कालावधी : ९० ते ९५ दिवस 
• झाडाची उंची : ७५ ते ९० से.मी.
• बोंडाची संख्या/झाड : २०० ते २५० (पीक व्यवस्थापनानुसार कमी जास्त)
• दाण्याचा रंग व आकार : पांढरा शुभ्र, मध्यम जाड 
• तेलाचे प्रमाण : ४८% ते ५०%
• किटक व रोगास प्रतिकारक क्षमता : पाने खाणारी अळी व फायलोडी रोगास सहनशील

खास वैशिष्टे : प्रत्येक झाडास २-३ उपशाखा व अनेक कॉप्सुन (बोंड)","संशोधित तील गोल्ड-801 किस्म की मुख्य विशेषताएं

• फसल अवधि:  ९० से ९५ दिन 
• पेड़ की ऊंचाई : ७५ से ९० सेमी.
• फलियों/पेड़ों की संख्या : २०० से २५० (फसल प्रबंधन के आधार पर कम या ज्यादा)
• दाने का रंग और आकार: सफेद से सफेद, मध्यम मोटा 
• तेल सामग्री : ४८% से ५०%
• कीट और रोग प्रतिरोधक क्षमता: लीफहॉपर्स और फाइलोड्स रोगों के प्रति सहनशील

विशेष विशेषताएँ: प्रत्येक पेड़ में २-३ उप-शाखाएँ और कई कॉप्सन (बंधन) होते हैं।",
Field Crop,Sunflower,"Gold-7
Super Sun",,"Key features
Crop duration – 95 to 100 days
Seed size and color- medium, black","प्रमुख वैशिष्टे
पिकाचा कालावधी- ९५ ते १०० दिवस
बियाचा आकार आणि रंग- मध्यम, काळा","प्रमुख विशेषताऐं
फसल अवधि - 95 से 100 दिन
बीज का आकार एवं रंग- मध्यम, काला",
